password,strength_score
UWIVK,0
iknec,0
affvuut,0
OAWWK,0
hpqmr,0
BWYYED,0
MSSBOBG,0
cifetz,0
bhioql,0
lpbhnr,0
EOHY,0
jbfxwde,0
SAUYUM,0
VUZE,0
xflqd,0
owicj,0
sxyiwvb,0
WCSN,0
xpksv,0
VJMBR,0
OBVT,0
JLXOCS,0
VCNIO,0
kunry,0
bssy,0
DVRGVNT,0
UEIAD,0
CZEI,0
sgkrad,0
WQMLYL,0
khawiv,0
ptxrz,0
ODIUW,0
telqi,0
GUME,0
PXEWPCC,0
uiyem,0
EGOLZ,0
ORTW,0
UECYSA,0
civxj,0
jbakath,0
tvdonio,0
jzzy,0
WYUGV,0
jkxlkm,0
EAAFA,0
BPWIQFR,0
BBJYWE,0
fubypvb,0
XBUDsDuHtFz,1
725luki2uqh,1
RlKF7V5bn,1
@&4#HE)?,1
8auk8y91,1
MqkdNBxTgD2,1
N32DV2KZ8MM4,1
]O{8I<UB8,1
<=}+<l(=,1
EkwwgzAF,1
TDwmkayvU,1
21xx2hrng0rg,1
TV!T;CI%!,1
^*(=:]JW&_,1
"<O{LPZ0U,>XC",1
FrxqLYxc,1
1^#M31/|+>B,1
eg!&r+(t,1
0WVDZTYQ623,1
P50W3938SBT,1
.YD{R96D(,1
I=.AZNDB[E,1
ob9v|i[{sy,1
nThVvKTUC,1
Sd9veftHY,1
k4uf6cetl9uw,1
F1rzo7OjlUs,1
x_m)qw(!o,1
"00..,.7?",1
!!BQ%lpGC,1
}&736YOO+6,1
"6<+;7_}?&,@",1
"{pl,18q493",1
RA#Z8#SWGFK,1
__PM{OZF,1
4&SP?91941,1
QWAivxyS,1
ImQ{nCQ-,1
#%72#7;3@,1
TZi&GMWzR,1
"DS#F+L,F/B.<",1
=]le|=59v,1
"vpb@[@,s(koz",1
12ld0y5a,1
0PHIPrzu,1
_ko]x#*bs>p,1
W[S@?&U1Q8,1
|MY4Q_B@7}/9,1
qpxb2j!00,1
0mg5wmaO8qm,1
+wY9^P0hV_dF9,2
v|[o%1EYvP@u,2
cyVhYhl_7?+,2
PIb]UZ!cNH|j9s,2
1yATsgH#,2
1};OFh=5]0a,2
Y+H_8R*wK,2
".z8N,.kF%",2
^7uioS4U6,2
?*1TL]NO1Qj,2
t03>to2>He1#1+,2
"SON,b7#CYm",2
9A|cDa/w,2
[z[8cDdM6)R,2
"mmiv8A,B{g+1g",2
"f!+C,N(4#",2
@)>0H3c1IQ[fC,2
iGwN1itF*$j%@Y,2
{@}%9q+7G,2
k.pGe]UN0axsX,2
45BgF&R/H!^Hx,2
0#-ruoO7A,2
os${8jEV,2
K[9G1LRq+k,2
Yz.7g@?6,2
DC^K_j4MBeOw0X,2
xE11oBGS|$,2
<O5/.:cUS{m+ZA,2
gs)Va!h6#,2
*QVx3}aF,2
/@RDIpDW2o,2
afTX|2ZJ:,2
5m%M+V%XzI@!7y,2
I_7-4j+SYMSQ,2
b/[o=33{i47Vh,2
4v_Yzu)Ny,2
?2py@nB<,2
*4wn-y[5Q:C5G+,2
[ZhJN<y8n,2
XKA}8ycosz@Hku,2
"67p.zHg1,(q6",2
"JxSnG4N},s6x]l",2
;yUq&i8F,2
dR4+X_C=CubCP,2
"SN9qB,a4*CR9n",2
JY?/l?H8J-m,2
}zjWFGO{*0],2
:JBX/k9D0{eSJ[,2
3L+9&XIqJ1,2
aH3xJ-LQA-,2
